epoch,not_only_accuracy,or_only_accuracy,and_only_accuracy,small_accuracy,test_accuracy,train_accuracy
1,0.52734375,0.966796875,0.93359375,0.8359375,0.9156918865107019,0.8832667219666692
2,0.564453125,0.962890625,0.890625,0.833984375,0.8847685415629667,0.9139582233617374
3,0.556640625,0.9609375,0.919921875,0.83984375,0.8337481333997013,0.9369579971344544
4,0.533203125,0.982421875,0.947265625,0.841796875,0.8282727725236436,0.9578463162657417
5,0.505859375,0.98046875,0.962890625,0.837890625,0.9245893479342957,0.9580725435487519
6,0.55078125,0.984375,0.908203125,0.841796875,0.9115231458437033,0.9724756805670763
7,0.53515625,0.984375,0.95703125,0.8515625,0.9209183673469388,0.9694593167936053
8,0.51171875,0.95703125,0.939453125,0.876953125,0.9114609258337482,0.9778297262649875
9,0.51171875,0.984375,0.93359375,0.814453125,0.9044922847187655,0.9763969534725888
10,0.490234375,0.994140625,0.953125,0.873046875,0.8931060228969636,0.9812985446044793
11,0.509765625,0.95703125,0.96484375,0.818359375,0.9350423096067695,0.9799411809064174
12,0.486328125,0.982421875,0.912109375,0.849609375,0.9352289696366352,0.9753412261518739
13,0.533203125,0.966796875,0.931640625,0.8359375,0.9308113489298159,0.9828821355855516
14,0.43359375,0.97265625,0.955078125,0.826171875,0.9426953708312593,0.9860493175476962
15,0.474609375,0.982421875,0.962890625,0.869140625,0.929318068690891,0.9850689993213182
16,0.5234375,0.982421875,0.9453125,0.873046875,0.8517297162767546,0.9794133172460598
17,0.529296875,0.984375,0.923828125,0.861328125,0.9154430064708811,0.9898197722645351
18,0.52734375,0.931640625,0.95703125,0.83984375,0.8649825783972126,0.9797903627177438
19,0.53515625,0.98046875,0.94921875,0.912109375,0.9159407665505227,0.9859739084533595
20,0.54296875,0.98828125,0.953125,0.90234375,0.9418865107018417,0.9901214086418823
21,0.509765625,0.994140625,0.96484375,0.88671875,0.9276381284221006,0.9882361812834628
22,0.51171875,0.98046875,0.978515625,0.896484375,0.8909905425584869,0.98853781766081
23,0.564453125,0.998046875,0.98046875,0.89453125,0.9347934295669488,0.9941180906417314
24,0.5078125,0.970703125,0.97265625,0.904296875,0.953086112493778,0.9857476811703492
25,0.5078125,0.986328125,0.994140625,0.904296875,0.9331134892981583,0.9924590905663223
26,0.5078125,0.998046875,0.9765625,0.916015625,0.9315579890492782,0.9927607269436695
27,0.5234375,0.974609375,0.78515625,0.837890625,0.9097187655550025,0.9910263177739236
28,0.529296875,0.982421875,0.931640625,0.923828125,0.9396465903434544,0.9866525903023905
29,0.541015625,0.984375,0.95703125,0.912109375,0.8690890990542558,0.9904230450192293
30,0.5390625,0.99609375,0.93359375,0.912109375,0.9003235440517671,0.9891410904155041
31,0.556640625,0.990234375,0.892578125,0.890625,0.9303758088601294,0.9952492270567831
32,0.47265625,0.99609375,0.9765625,0.91015625,0.9621702339472374,0.9806952718497851
33,0.525390625,0.9921875,0.90625,0.826171875,0.8692757590841215,0.9954754543397933
34,0.537109375,0.9921875,0.880859375,0.875,0.9119586859133898,0.994947590679436
35,0.52734375,0.98828125,0.9765625,0.888671875,0.8773643603782977,0.9950984088681095
36,0.529296875,0.986328125,0.974609375,0.912109375,0.9397710303633648,0.9937410451700475
37,0.533203125,0.998046875,0.955078125,0.9296875,0.9574415131906421,0.9948721815850992
38,0.501953125,0.986328125,0.95703125,0.919921875,0.9530238924838228,0.9866525903023905
39,0.5625,0.99609375,0.9609375,0.927734375,0.8936660029865605,0.9903476359248925
40,0.576171875,1.0,0.97265625,0.916015625,0.8926082628173221,0.9944951361134152
41,0.544921875,1.0,0.98046875,0.91015625,0.9424464907914385,0.9918558178116281
42,0.56640625,0.994140625,0.99609375,0.919921875,0.9217894474863116,0.9961541361888244
43,0.59375,1.0,0.982421875,0.943359375,0.9128919860627178,0.9953246361511199
44,0.564453125,0.986328125,0.94921875,0.9453125,0.9219761075161772,0.9959279089058141
45,0.57421875,0.95703125,0.6875,0.6796875,0.9057366849178696,0.9916295905286178
46,0.603515625,0.998046875,0.9609375,0.8984375,0.9056122448979592,0.9932131815096901
47,0.57421875,0.982421875,0.970703125,0.900390625,0.9056122448979592,0.9938164542643843
48,0.548828125,0.99609375,0.994140625,0.94140625,0.9137630662020906,0.9963803634718347
49,0.603515625,0.998046875,0.990234375,0.908203125,0.893230462916874,0.9958524998114773
50,0.580078125,0.9921875,0.994140625,0.94140625,0.8903061224489796,0.9967574089435186
51,0.6015625,1.0,0.998046875,0.939453125,0.9425087108013938,0.9963803634718347
52,0.599609375,1.0,0.978515625,0.921875,0.8819686411149826,0.9928361360380061
53,0.587890625,0.99609375,0.98828125,0.9453125,0.8949726231956198,0.9958524998114773
54,0.599609375,0.99609375,0.970703125,0.921875,0.900012444001991,0.9870296357740743
55,0.556640625,0.998046875,0.990234375,0.916015625,0.8829641612742658,0.9939672724530578
56,0.60546875,0.99609375,0.98046875,0.927734375,0.9137630662020906,0.9958524998114773
57,0.603515625,0.982421875,0.984375,0.93359375,0.8870084619213539,0.9966819998491818
58,0.552734375,0.994140625,0.859375,0.88671875,0.874066699850672,0.9959279089058141
59,0.615234375,0.994140625,0.974609375,0.912109375,0.9728720756595322,0.9956262725284669
60,0.59375,1.0,0.984375,0.951171875,0.9031856645097063,0.9952492270567831
61,0.609375,1.0,0.96484375,0.9140625,0.8576406172224987,0.9921574541889752
62,0.58203125,0.984375,0.9453125,0.939453125,0.9705077152812345,0.9955508634341301
63,0.599609375,0.99609375,0.94921875,0.947265625,0.9297536087605774,0.996606590754845
64,0.59375,0.982421875,0.95703125,0.921875,0.8883150821304131,0.9931377724153533
65,0.580078125,0.984375,0.955078125,0.91015625,0.9321801891488303,0.9954754543397933
66,0.61328125,0.99609375,0.974609375,0.916015625,0.9176829268292683,0.9935148178870372
67,0.62109375,0.986328125,0.9453125,0.93359375,0.8842085614733698,0.9963803634718347
68,0.62890625,0.99609375,0.990234375,0.93359375,0.9007590841214534,0.9967574089435186
69,0.5234375,0.998046875,0.978515625,0.8984375,0.936411149825784,0.9950984088681095
70,0.62109375,0.9765625,0.958984375,0.92578125,0.8846441015430563,0.9966819998491818
71,0.5546875,0.9765625,0.974609375,0.9296875,0.9420109507217521,0.994570545207752
72,0.62109375,0.9921875,0.97265625,0.91796875,0.8645470383275261,0.991554181434281
73,0.541015625,0.99609375,0.9921875,0.89453125,0.897834743653559,0.9865017721137169
74,0.603515625,1.0,0.990234375,0.91796875,0.9442508710801394,0.9952492270567831
75,0.609375,1.0,1.0,0.94921875,0.8904927824788452,0.9981147726415805
76,0.603515625,0.98828125,0.9296875,0.94140625,0.9082254853160776,0.9984164090189277
77,0.56640625,0.962890625,0.837890625,0.7578125,0.9408287705326033,0.9923836814719855
78,0.568359375,0.970703125,0.76171875,0.705078125,0.8865729218516675,0.9968328180378554
79,0.556640625,0.998046875,0.93359375,0.8828125,0.9147585863613739,0.9983409999245909
80,0.595703125,0.990234375,0.87109375,0.935546875,0.8908661025385765,0.9944951361134152
81,0.5546875,0.9765625,0.896484375,0.908203125,0.9130786460925834,0.9938164542643843
82,0.583984375,0.984375,0.939453125,0.94921875,0.9649701343952215,0.9981147726415805
83,0.62109375,0.99609375,0.939453125,0.935546875,0.9360378297660528,0.9982655908302541
84,0.55078125,0.98828125,0.876953125,0.880859375,0.9624191139870583,0.9987180453962748
85,0.568359375,0.97265625,0.859375,0.9140625,0.9044922847187655,0.9965311816605082
86,0.515625,0.955078125,0.681640625,0.67578125,0.9229094076655052,0.9969082271321922
87,0.587890625,0.97265625,0.78515625,0.904296875,0.8989547038327527,0.996983636226529
88,0.603515625,0.99609375,0.865234375,0.8671875,0.8843330014932802,0.997963954452907
89,0.587890625,0.984375,0.783203125,0.828125,0.8965281234444997,0.9955508634341301
90,0.54296875,0.943359375,0.73046875,0.712890625,0.9045545047287208,0.9963049543774979
91,0.625,0.990234375,0.9375,0.92578125,0.8565828770532603,0.9858984993590227
92,0.638671875,0.970703125,0.8984375,0.95703125,0.9094698855151817,0.9974360907925496
93,0.560546875,0.98828125,0.8515625,0.83984375,0.9111498257839721,0.9956262725284669
94,0.703125,0.990234375,0.916015625,0.955078125,0.9309980089596814,0.9970590453208656
95,0.58203125,0.994140625,0.916015625,0.955078125,0.9309980089596814,0.9941180906417314
96,0.583984375,0.986328125,0.77734375,0.919921875,0.912643106022897,0.9985672272076013
97,0.5703125,0.99609375,0.904296875,0.95703125,0.8920482827277252,0.9986426363019381
98,0.572265625,0.98828125,0.830078125,0.767578125,0.9477351916376306,0.9986426363019381
99,0.556640625,0.98046875,0.80078125,0.787109375,0.8925460428073668,0.9978131362642335
100,0.66796875,0.990234375,0.857421875,0.8984375,0.9442508710801394,0.9984918181132645
101,0.552734375,0.98046875,0.78125,0.826171875,0.934544549527128,0.9940426815473946
102,0.630859375,0.98828125,0.814453125,0.888671875,0.9115853658536586,0.9987934544906115
103,0.595703125,0.984375,0.83984375,0.85546875,0.907105525136884,0.9975114998868864
104,0.65625,0.990234375,0.912109375,0.86328125,0.9563215530114485,0.993590226981374
105,0.64453125,0.974609375,0.8203125,0.806640625,0.8903061224489796,0.9989442726792851
106,0.5859375,0.974609375,0.83203125,0.91796875,0.903994524639124,0.9957016816228037
107,0.59375,0.990234375,0.966796875,0.806640625,0.9390243902439024,0.9973606816982128
108,0.623046875,0.982421875,0.953125,0.896484375,0.9522150323544052,0.9978131362642335
109,0.525390625,0.9765625,0.66015625,0.6953125,0.8944126431060229,0.9973606816982128
110,0.67578125,0.998046875,0.982421875,0.896484375,0.9143852663016426,0.992232863283312
111,0.673828125,0.98828125,0.841796875,0.755859375,0.9645968143354903,0.9971344544152024
112,0.712890625,0.998046875,0.9609375,0.896484375,0.9352289696366352,0.997285272603876
113,0.646484375,0.994140625,0.98828125,0.916015625,0.9360378297660528,0.9975114998868864
114,0.65625,0.962890625,0.94140625,0.94140625,0.9079143852663016,0.9878591358117789
115,0.56640625,0.94140625,0.701171875,0.703125,0.9112120457939273,0.9898951813588719
116,0.58203125,0.978515625,0.771484375,0.703125,0.9158163265306123,0.997963954452907
117,0.642578125,0.9453125,0.904296875,0.86328125,0.9644101543056247,0.9976623180755599
118,0.638671875,0.974609375,0.9375,0.849609375,0.933051269288203,0.9988688635849483
119,0.6796875,0.986328125,0.994140625,0.935546875,0.9370955699352912,0.9966819998491818
120,0.728515625,0.98046875,0.98046875,0.865234375,0.9254604280736685,0.9976623180755599
121,0.759765625,0.99609375,0.984375,0.95703125,0.9289447486311598,0.9974360907925496
122,0.728515625,1.0,0.970703125,0.96484375,0.9522150323544052,0.9969082271321922
123,0.638671875,0.95703125,0.876953125,0.859375,0.9476107516177202,0.9960787270944876
124,0.65625,0.953125,0.845703125,0.80078125,0.9115231458437033,0.9944951361134152
125,0.73046875,0.98828125,0.8984375,0.927734375,0.9482329517172723,0.9997737727169896
126,0.75,0.990234375,0.974609375,0.927734375,0.9603658536585366,0.9977377271698967
127,0.724609375,0.9921875,0.984375,0.974609375,0.9445619711299154,0.9912525450569338
128,0.80078125,0.994140625,0.990234375,0.89453125,0.9374688899950224,0.9981147726415805
129,0.74609375,0.98046875,0.974609375,0.935546875,0.9261448481831757,0.99087549958525
130,0.6875,0.98046875,0.947265625,0.83203125,0.9522150323544052,0.9977377271698967
131,0.73828125,0.998046875,0.990234375,0.9921875,0.9284469885515182,0.999321318150969
132,0.763671875,0.998046875,0.98828125,0.953125,0.9503484320557491,0.9987180453962748
133,0.59765625,0.94921875,0.638671875,0.689453125,0.9309980089596814,0.9985672272076013
134,0.759765625,0.994140625,0.966796875,0.943359375,0.9275759084121453,0.9995475454339794
135,0.78125,0.998046875,0.990234375,0.962890625,0.9188028870084619,0.9997737727169896
136,0.609375,0.978515625,0.9296875,0.9296875,0.9644101543056247,0.9955508634341301
137,0.716796875,0.974609375,0.91015625,0.87890625,0.8874440019910403,0.9978885453585702
138,0.779296875,1.0,0.998046875,0.953125,0.8868218018914883,0.999321318150969
139,0.794921875,0.994140625,0.998046875,0.96875,0.896590343454455,0.9986426363019381
140,0.76953125,0.998046875,0.990234375,0.9609375,0.9269537083125934,0.9980393635472438
141,0.744140625,0.953125,0.75390625,0.703125,0.9283225485316078,0.997963954452907
142,0.759765625,0.970703125,0.990234375,0.89453125,0.9228471876555501,0.9884624085664732
143,0.666015625,0.96875,0.908203125,0.919921875,0.9233449477351916,0.997285272603876
144,0.787109375,0.98828125,0.951171875,0.966796875,0.9618591338974615,0.9950229997737727
145,0.74609375,1.0,0.99609375,0.978515625,0.9583748133399701,0.9984918181132645
146,0.654296875,0.984375,0.908203125,0.91015625,0.9588725734196117,0.997963954452907
147,0.740234375,0.9921875,0.986328125,0.96875,0.9188028870084619,0.9992459090566322
148,0.75,0.97265625,0.96484375,0.970703125,0.949664011946242,0.9992459090566322
149,0.748046875,0.904296875,0.9609375,0.927734375,0.8899328023892484,0.9906492723022396
150,0.712890625,0.99609375,0.9609375,0.923828125,0.9188028870084619,0.997963954452907
151,0.638671875,0.974609375,0.97265625,0.90234375,0.929940268790443,0.996983636226529
152,0.677734375,0.99609375,0.978515625,0.96875,0.9588103534096566,0.9957770907171405
153,0.78125,0.990234375,0.994140625,0.9765625,0.9369089099054256,0.9990196817736219
154,0.826171875,0.990234375,0.984375,0.97265625,0.9106520657043305,0.9968328180378554
155,0.69140625,0.986328125,0.794921875,0.71484375,0.9554504728720756,0.9998491818113264
156,0.6875,0.984375,0.89453125,0.779296875,0.9730587356893977,0.9975869089812232
157,0.701171875,0.982421875,0.96484375,0.90234375,0.9078521652563465,0.990196817736219
158,0.798828125,1.0,0.98046875,0.97265625,0.9375933300149328,0.9982655908302541
159,0.740234375,0.99609375,0.96875,0.951171875,0.9194873071179691,0.9976623180755599
160,0.76171875,0.99609375,0.953125,0.935546875,0.9644101543056247,0.9989442726792851
161,0.740234375,0.998046875,0.978515625,0.970703125,0.929940268790443,0.9990196817736219
162,0.75390625,0.99609375,0.986328125,0.96875,0.9555126928820309,0.9981147726415805
163,0.70703125,0.9921875,0.8125,0.837890625,0.9177451468392235,0.9898951813588719
